@relation churn


@attribute State{KS,OH,NJ,OK,AL,MA,MO,LA,WV,IN,RI,IA,MT,NY,ID,VT,VA,TX,FL,CO,AZ,SC,NE,WY,HI,IL,NH,GA,AK,MD,AR,WI,OR,MI,DE,UT,CA,MN,SD,NC,WA,NM,NV,DC,KY,ME,MS,TN,PA}
@attribute AccountLength numeric
@attribute AreaCode numeric
@attribute Phone numeric
@attribute IntlPlan {yes,no}
@attribute VMailPlan {yes,no}
@attribute VMailMessage numeric
@attribute DayMins numeric
@attribute DayCalls numeric
@attribute DayCharge numeric
@attribute EveMins numeric
@attribute EveCalls numeric
@attribute EveCharge numeric
@attribute NightMins numeric
@attribute NightCalls numeric
@attribute NightCharge numeric
@attribute IntlMins numeric
@attribute IntlCalls numeric
@attribute IntlCharge numeric 
@attribute CustServCalls numeric
@attribute Churn{True.,False.}

@data
IN,65,415,3296603,no,no,0,129.100000,137,21.950000,228.500000,83,19.420000,208.800000,111,9.400000,12.700000,6,3.430000,4,True.
RI,74,415,3449403,no,no,0,187.700000,127,31.910000,163.400000,148,13.890000,196.000000,94,8.820000,9.100000,5,2.460000,0,False.
IA,168,408,3631107,no,no,0,128.800000,96,21.900000,104.900000,71,8.920000,141.100000,128,6.350000,11.200000,2,3.020000,1,False.
MT,95,510,3948006,no,no,0,156.600000,88,26.620000,247.600000,75,21.050000,192.300000,115,8.650000,12.300000,5,3.320000,3,False.
IA,62,415,3669238,no,no,0,120.700000,70,20.520000,307.200000,76,26.110000,203.000000,99,9.140000,13.100000,6,3.540000,4,False.
NY,161,415,3517269,no,no,0,332.900000,67,56.590000,317.800000,97,27.010000,160.600000,128,7.230000,5.400000,9,1.460000,4,True.
ID,85,408,3508884,no,yes,27,196.400000,139,33.390000,280.900000,90,23.880000,89.300000,75,4.020000,13.800000,4,3.730000,1,False.
VT,93,510,3862923,no,no,0,190.700000,114,32.420000,218.200000,111,18.550000,129.600000,121,5.830000,8.100000,3,2.190000,3,False.
VA,76,510,3562992,no,yes,33,189.700000,66,32.250000,212.800000,65,18.090000,165.700000,108,7.460000,10.000000,5,2.700000,1,False.
TX,73,415,3732782,no,no,0,224.400000,90,38.150000,159.500000,88,13.560000,192.800000,74,8.680000,13.000000,2,3.510000,1,False.
FL,147,415,3965800,no,no,0,155.100000,117,26.370000,239.700000,93,20.370000,208.800000,133,9.400000,10.600000,4,2.860000,0,False.
CO,77,408,3937984,no,no,0,62.400000,89,10.610000,169.900000,121,14.440000,209.600000,64,9.430000,5.700000,6,1.540000,5,True.
AZ,130,415,3581958,no,no,0,183.000000,112,31.110000,72.900000,99,6.200000,181.800000,78,8.180000,9.500000,19,2.570000,0,False.
SC,111,415,3502565,no,no,0,110.400000,103,18.770000,137.300000,102,11.670000,189.600000,105,8.530000,7.700000,6,2.080000,2,False.
VA,132,510,3434696,no,no,0,81.100000,86,13.790000,245.200000,72,20.840000,237.000000,115,10.670000,10.300000,2,2.780000,0,False.
NE,174,415,3313698,no,no,0,124.300000,76,21.130000,277.100000,112,23.550000,250.700000,115,11.280000,15.500000,5,4.190000,3,False.
WY,57,408,3573817,no,yes,39,213.000000,115,36.210000,191.100000,112,16.240000,182.700000,115,8.220000,9.500000,3,2.570000,0,False.
MT,54,408,4186412,no,no,0,134.300000,73,22.830000,155.500000,100,13.220000,102.100000,68,4.590000,14.700000,4,3.970000,3,False.
MO,20,415,3532630,no,no,0,190.000000,109,32.300000,258.200000,84,21.950000,181.500000,102,8.170000,6.300000,6,1.700000,0,False.
HI,49,510,4107789,no,no,0,119.300000,117,20.280000,215.100000,109,18.280000,178.700000,90,8.040000,11.100000,1,3.000000,1,False.
IL,142,415,4168428,no,no,0,84.800000,95,14.420000,136.700000,63,11.620000,250.500000,148,11.270000,14.200000,6,3.830000,2,False.
NH,75,510,3703359,no,no,0,226.100000,105,38.440000,201.500000,107,17.130000,246.200000,98,11.080000,10.300000,5,2.780000,1,False.
LA,172,408,3831121,no,no,0,212.000000,121,36.040000,31.200000,115,2.650000,293.300000,78,13.200000,12.600000,10,3.400000,3,False.
AZ,12,408,3601596,no,no,0,249.600000,118,42.430000,252.400000,119,21.450000,280.200000,90,12.610000,11.800000,3,3.190000,1,True.
OK,57,408,3952854,no,yes,25,176.800000,94,30.060000,195.000000,75,16.580000,213.500000,116,9.610000,8.300000,4,2.240000,0,False.
GA,72,415,3621407,no,yes,37,220.000000,80,37.400000,217.300000,102,18.470000,152.800000,71,6.880000,14.700000,6,3.970000,3,False.
AK,36,408,3419764,no,yes,30,146.300000,128,24.870000,162.500000,80,13.810000,129.300000,109,5.820000,14.500000,6,3.920000,0,False.
MA,78,415,3533305,no,no,0,130.800000,64,22.240000,223.700000,116,19.010000,227.800000,108,10.250000,10.000000,5,2.700000,1,False.
AK,136,415,4021381,yes,yes,33,203.900000,106,34.660000,187.600000,99,15.950000,101.700000,107,4.580000,10.500000,6,2.840000,3,False.
NJ,149,408,3329891,no,no,0,140.400000,94,23.870000,271.800000,92,23.100000,188.300000,108,8.470000,11.100000,9,3.000000,1,False.
GA,98,408,3729976,no,no,0,126.300000,102,21.470000,166.800000,85,14.180000,187.800000,135,8.450000,9.400000,2,2.540000,3,False.
MD,135,408,3836029,yes,yes,41,173.100000,85,29.430000,203.900000,107,17.330000,122.200000,78,5.500000,14.600000,15,3.940000,0,True.
AR,34,510,3537289,no,no,0,124.800000,82,21.220000,282.200000,98,23.990000,311.500000,78,14.020000,10.000000,4,2.700000,2,False.
ID,160,415,3907274,no,no,0,85.800000,77,14.590000,165.300000,110,14.050000,178.500000,92,8.030000,9.200000,4,2.480000,3,False.
WI,64,510,3521237,no,no,0,154.000000,67,26.180000,225.800000,118,19.190000,265.300000,86,11.940000,3.500000,3,0.950000,1,False.
OR,59,408,3533061,no,yes,28,120.900000,97,20.550000,213.000000,92,18.110000,163.100000,116,7.340000,8.500000,5,2.300000,2,False.
MI,65,415,3635450,no,no,0,211.300000,120,35.920000,162.600000,122,13.820000,134.700000,118,6.060000,13.200000,5,3.560000,3,False.
DE,142,408,3641995,no,no,0,187.000000,133,31.790000,134.600000,74,11.440000,242.200000,127,10.900000,7.400000,5,2.000000,2,False.
ID,119,415,3981294,no,no,0,159.100000,114,27.050000,231.300000,117,19.660000,143.200000,91,6.440000,8.800000,3,2.380000,5,True.
WY,97,415,4057146,no,yes,24,133.200000,135,22.640000,217.200000,58,18.460000,70.600000,79,3.180000,11.000000,3,2.970000,1,False.
IA,52,408,4134957,no,no,0,191.900000,108,32.620000,269.800000,96,22.930000,236.800000,87,10.660000,7.800000,5,2.110000,3,False.
IN,60,408,4205645,no,no,0,220.600000,57,37.500000,211.100000,115,17.940000,249.000000,129,11.210000,6.800000,3,1.840000,1,False.
VA,10,408,3494396,no,no,0,186.100000,112,31.640000,190.200000,66,16.170000,282.800000,57,12.730000,11.400000,6,3.080000,2,False.
UT,96,415,4043211,no,no,0,160.200000,117,27.230000,267.500000,67,22.740000,228.500000,68,10.280000,9.300000,5,2.510000,2,False.
WY,87,415,3533759,no,no,0,151.000000,83,25.670000,219.700000,116,18.670000,203.900000,127,9.180000,9.700000,3,2.620000,5,True.
IN,81,408,3635947,no,no,0,175.500000,67,29.840000,249.300000,85,21.190000,270.200000,98,12.160000,10.200000,3,2.750000,1,False.
CO,141,415,3405121,no,no,0,126.900000,98,21.570000,180.000000,62,15.300000,140.800000,128,6.340000,8.000000,2,2.160000,1,False.
CO,121,408,3707574,no,yes,30,198.400000,129,33.730000,75.300000,77,6.400000,181.200000,77,8.150000,5.800000,3,1.570000,3,True.
WI,68,415,4039733,no,no,0,148.800000,70,25.300000,246.500000,164,20.950000,129.800000,103,5.840000,12.100000,3,3.270000,3,False.
OK,125,408,3557251,no,no,0,229.300000,103,38.980000,177.400000,126,15.080000,189.300000,95,8.520000,12.000000,8,3.240000,1,False.
ID,174,408,3595893,no,no,0,192.100000,97,32.660000,169.900000,94,14.440000,166.600000,54,7.500000,11.400000,4,3.080000,1,False.
CA,116,415,4053371,no,yes,34,268.600000,83,45.660000,178.200000,142,15.150000,166.300000,106,7.480000,11.600000,3,3.130000,2,False.
MN,74,510,3445117,no,yes,33,193.700000,91,32.930000,246.100000,96,20.920000,138.000000,92,6.210000,14.600000,3,3.940000,2,False.
SD,149,408,3328160,no,yes,28,180.700000,92,30.720000,187.800000,64,15.960000,265.500000,53,11.950000,12.600000,3,3.400000,3,False.
NC,38,408,3594081,no,no,0,131.200000,98,22.300000,162.900000,97,13.850000,159.000000,106,7.150000,8.200000,6,2.210000,2,False.
WA,40,415,3528305,no,yes,41,148.100000,74,25.180000,169.500000,88,14.410000,214.100000,102,9.630000,6.200000,5,1.670000,2,False.
WY,43,415,3299847,yes,no,0,251.500000,105,42.760000,212.800000,104,18.090000,157.800000,67,7.100000,9.300000,4,2.510000,0,False.
MN,113,408,3659011,yes,no,0,125.200000,93,21.280000,206.400000,119,17.540000,129.300000,139,5.820000,8.300000,8,2.240000,0,False.
UT,126,408,3389472,no,no,0,211.600000,70,35.970000,216.900000,80,18.440000,153.500000,60,6.910000,7.800000,1,2.110000,1,False.
TX,150,510,3748042,no,no,0,178.900000,101,30.410000,169.100000,110,14.370000,148.600000,100,6.690000,13.800000,3,3.730000,4,True.
NJ,138,408,3591231,no,no,0,241.800000,93,41.110000,170.500000,83,14.490000,295.300000,104,13.290000,11.800000,7,3.190000,3,False.
MN,162,510,4137170,no,yes,46,224.900000,97,38.230000,188.200000,84,16.000000,254.600000,61,11.460000,12.100000,2,3.270000,0,False.
NM,147,510,4152935,no,no,0,248.600000,83,42.260000,148.900000,85,12.660000,172.500000,109,7.760000,8.000000,4,2.160000,3,False.
NV,90,415,3994246,no,no,0,203.400000,146,34.580000,226.700000,117,19.270000,152.400000,105,6.860000,7.300000,4,1.970000,1,False.
HI,85,415,3625889,no,no,0,235.800000,109,40.090000,157.200000,94,13.360000,188.200000,99,8.470000,12.000000,3,3.240000,0,False.
MN,50,415,3508921,no,no,0,157.100000,90,26.710000,223.300000,72,18.980000,181.400000,111,8.160000,6.100000,2,1.650000,1,False.
DC,82,415,3745353,no,no,0,300.300000,109,51.050000,181.000000,100,15.390000,270.100000,73,12.150000,11.700000,4,3.160000,0,True.
NY,144,408,3601171,no,no,0,61.600000,117,10.470000,77.100000,85,6.550000,173.000000,99,7.790000,8.200000,7,2.210000,4,True.
MN,46,415,3558887,no,no,0,214.100000,72,36.400000,164.400000,104,13.970000,177.500000,113,7.990000,8.200000,3,2.210000,2,False.
MD,70,408,3331967,no,no,0,170.200000,98,28.930000,155.200000,102,13.190000,228.600000,76,10.290000,15.000000,2,4.050000,1,False.
WV,144,415,3544577,no,no,0,201.100000,99,34.190000,303.500000,74,25.800000,224.000000,119,10.080000,13.200000,2,3.560000,1,False.
OR,116,415,3317425,yes,no,0,215.400000,104,36.620000,204.800000,79,17.410000,278.500000,109,12.530000,12.600000,5,3.400000,3,False.
CO,55,408,4192637,no,yes,25,165.600000,123,28.150000,136.100000,95,11.570000,175.700000,90,7.910000,11.000000,2,2.970000,3,False.
GA,70,415,4111530,no,yes,24,249.500000,101,42.420000,259.700000,98,22.070000,222.700000,68,10.020000,9.800000,4,2.650000,1,False.
TX,106,510,3953026,no,no,0,210.600000,96,35.800000,249.200000,85,21.180000,191.400000,88,8.610000,12.400000,1,3.350000,2,True.
VT,128,510,3886441,no,yes,29,179.300000,104,30.480000,225.900000,86,19.200000,323.000000,78,14.540000,8.600000,7,2.320000,0,False.
IN,94,408,4021251,no,no,0,157.900000,105,26.840000,155.000000,101,13.180000,189.600000,84,8.530000,8.000000,5,2.160000,4,True.
WV,111,510,4129997,no,no,0,214.300000,118,36.430000,208.500000,76,17.720000,182.400000,98,8.210000,12.000000,2,3.240000,1,False.
KY,74,415,3467302,no,yes,35,154.100000,104,26.200000,123.400000,84,10.490000,202.100000,57,9.090000,10.900000,9,2.940000,2,False.
NJ,128,415,3589095,no,no,0,237.900000,125,40.440000,247.600000,93,21.050000,208.900000,68,9.400000,13.900000,4,3.750000,1,True.
DC,82,510,4009770,no,no,0,143.900000,61,24.460000,194.900000,105,16.570000,109.600000,94,4.930000,11.100000,2,3.000000,1,False.
LA,155,415,3341275,no,no,0,203.400000,100,34.580000,190.900000,104,16.230000,196.000000,119,8.820000,8.900000,4,2.400000,0,True.
AR,80,415,3404953,no,no,0,124.300000,100,21.130000,173.000000,107,14.710000,253.200000,62,11.390000,7.900000,9,2.130000,1,False.
ME,78,415,4009510,no,no,0,252.900000,93,42.990000,178.400000,112,15.160000,263.900000,105,11.880000,9.500000,7,2.570000,3,False.
AZ,90,415,3876103,no,no,0,179.100000,71,30.450000,190.600000,81,16.200000,127.700000,91,5.750000,10.600000,7,2.860000,3,False.
AK,104,408,3664467,no,no,0,278.400000,106,47.330000,81.000000,113,6.890000,163.200000,137,7.340000,9.800000,5,2.650000,1,False.
MT,73,415,3703450,no,no,0,160.100000,110,27.220000,213.300000,72,18.130000,174.100000,72,7.830000,13.000000,4,3.510000,0,False.
AZ,99,415,3273954,no,no,0,198.200000,87,33.690000,207.300000,76,17.620000,190.900000,113,8.590000,8.700000,3,2.350000,4,False.
MS,120,408,3556291,no,no,0,212.100000,131,36.060000,209.400000,104,17.800000,167.200000,96,7.520000,5.300000,5,1.430000,1,True.
ID,77,415,3629748,no,no,0,251.800000,72,42.810000,205.700000,126,17.480000,275.200000,109,12.380000,9.800000,7,2.650000,2,True.
IA,98,510,3796506,no,yes,21,161.200000,114,27.400000,252.200000,83,21.440000,160.200000,92,7.210000,4.400000,8,1.190000,4,False.
MA,108,415,3477741,no,no,0,178.300000,137,30.310000,189.000000,76,16.070000,129.100000,102,5.810000,14.600000,5,3.940000,0,False.
VT,135,415,3543783,no,no,0,151.700000,82,25.790000,119.000000,105,10.120000,180.000000,100,8.100000,10.500000,6,2.840000,0,False.
KY,95,408,4017594,no,no,0,135.000000,99,22.950000,183.600000,106,15.610000,245.300000,102,11.040000,12.500000,9,3.380000,1,False.
IN,122,408,3974976,no,no,0,170.500000,94,28.990000,173.700000,109,14.760000,248.600000,75,11.190000,11.300000,2,3.050000,1,False.
AZ,95,408,3342577,no,no,0,238.100000,65,40.480000,187.200000,98,15.910000,190.000000,115,8.550000,11.800000,4,3.190000,4,False.
MI,36,510,4003637,no,yes,29,281.400000,102,47.840000,202.200000,76,17.190000,187.200000,113,8.420000,9.000000,6,2.430000,2,False.
NM,93,510,3834361,no,yes,21,117.900000,131,20.040000,164.500000,115,13.980000,217.000000,86,9.760000,9.800000,3,2.650000,1,False.
CO,141,415,3714306,no,yes,32,148.600000,91,25.260000,131.100000,97,11.140000,219.400000,142,9.870000,10.100000,1,2.730000,1,False.
UT,157,408,4034298,no,no,0,229.800000,90,39.070000,147.900000,121,12.570000,241.400000,108,10.860000,9.600000,7,2.590000,3,False.
MI,120,408,4093786,no,no,0,165.000000,100,28.050000,317.200000,83,26.960000,119.200000,86,5.360000,8.300000,8,2.240000,1,False.
MA,103,415,3374697,no,no,0,185.000000,117,31.450000,223.300000,94,18.980000,222.800000,91,10.030000,12.600000,2,3.400000,2,False.
AL,98,408,3831509,no,no,0,161.000000,117,27.370000,190.900000,113,16.230000,227.700000,113,10.250000,12.100000,4,3.270000,4,False.
DE,125,408,3599794,no,no,0,126.700000,108,21.540000,206.000000,90,17.510000,247.800000,114,11.150000,13.300000,7,3.590000,1,False.
AZ,63,415,4077035,no,no,0,58.900000,125,10.010000,169.600000,59,14.420000,211.400000,88,9.510000,9.400000,3,2.540000,1,False.
ME,36,510,3631069,yes,yes,42,196.800000,89,33.460000,254.900000,122,21.670000,138.300000,126,6.220000,20.000000,6,5.400000,0,True.
NJ,64,510,3914652,no,no,0,162.600000,83,27.640000,152.300000,109,12.950000,57.500000,122,2.590000,14.200000,3,3.830000,1,False.
NV,74,415,3556837,no,no,0,282.500000,114,48.030000,219.900000,48,18.690000,170.000000,115,7.650000,9.400000,4,2.540000,1,True.
MO,112,510,4091244,no,yes,36,113.700000,117,19.330000,157.500000,82,13.390000,177.600000,118,7.990000,10.000000,3,2.700000,2,False.
ID,97,408,3283266,no,no,0,239.800000,125,40.770000,214.800000,111,18.260000,143.300000,81,6.450000,8.700000,5,2.350000,2,False.
NE,46,408,3527072,no,no,0,210.200000,92,35.730000,227.300000,77,19.320000,200.100000,116,9.000000,13.100000,7,3.540000,1,False.
TX,41,408,3707550,no,yes,22,213.800000,102,36.350000,141.800000,86,12.050000,142.200000,123,6.400000,7.200000,3,1.940000,0,False.
MD,121,510,3695526,no,no,0,190.700000,103,32.420000,183.500000,117,15.600000,220.800000,103,9.940000,9.800000,4,2.650000,3,False.
MS,193,415,3294391,no,no,0,170.900000,124,29.050000,132.300000,95,11.250000,112.900000,89,5.080000,11.600000,3,3.130000,1,False.
NV,130,510,4084195,no,no,0,154.200000,119,26.210000,110.200000,98,9.370000,227.400000,117,10.230000,9.200000,5,2.480000,2,False.
AZ,85,408,3544445,no,no,0,201.400000,52,34.240000,229.400000,104,19.500000,252.500000,106,11.360000,12.000000,3,3.240000,1,False.
MS,162,415,3354858,no,no,0,70.700000,108,12.020000,157.500000,87,13.390000,154.800000,82,6.970000,9.100000,3,2.460000,4,True.
MS,61,510,4148718,no,yes,27,187.500000,124,31.880000,146.600000,103,12.460000,225.700000,129,10.160000,6.400000,6,1.730000,4,True.
TX,92,408,4095939,no,no,0,91.700000,90,15.590000,193.700000,123,16.460000,175.000000,86,7.880000,9.200000,4,2.480000,2,False.
NE,131,408,3314902,no,yes,36,214.200000,115,36.410000,161.700000,117,13.740000,264.700000,102,11.910000,9.500000,4,2.570000,3,False.
NE,90,415,3536870,no,no,0,145.500000,92,24.740000,217.700000,114,18.500000,146.900000,123,6.610000,10.900000,2,2.940000,3,False.
CA,75,408,3552909,no,no,0,166.300000,125,28.270000,158.200000,86,13.450000,256.700000,80,11.550000,6.100000,5,1.650000,1,False.
NJ,78,415,3906101,no,no,0,231.000000,115,39.270000,230.400000,140,19.580000,261.400000,120,11.760000,9.500000,3,2.570000,1,False.
TX,82,408,4003446,no,no,0,200.300000,96,34.050000,201.200000,102,17.100000,206.100000,60,9.270000,7.100000,1,1.920000,4,False.
AR,163,408,4115859,no,no,0,197.000000,109,33.490000,202.600000,128,17.220000,206.400000,80,9.290000,9.100000,10,2.460000,1,False.
AL,91,510,3872919,yes,no,0,129.900000,112,22.080000,173.300000,83,14.730000,247.200000,130,11.120000,11.200000,3,3.020000,3,False.
NY,75,415,3748525,no,yes,21,175.800000,97,29.890000,217.500000,106,18.490000,237.500000,134,10.690000,5.300000,4,1.430000,5,False.
FL,91,510,3795592,no,no,0,203.100000,106,34.530000,210.100000,113,17.860000,195.600000,129,8.800000,12.000000,3,3.240000,3,False.
AK,127,510,3458237,no,yes,36,183.200000,117,31.140000,126.800000,76,10.780000,263.300000,71,11.850000,11.200000,8,3.020000,1,False.
NV,113,415,4226690,no,yes,23,205.000000,101,34.850000,152.000000,60,12.920000,158.600000,59,7.140000,10.200000,5,2.750000,2,False.
DE,110,510,3462359,no,no,0,148.500000,115,25.250000,276.400000,84,23.490000,193.600000,112,8.710000,12.400000,3,3.350000,1,False.
MD,120,415,3743534,no,yes,39,200.300000,68,34.050000,220.400000,97,18.730000,253.800000,116,11.420000,10.500000,4,2.840000,0,False.
MI,157,415,3814756,no,yes,28,192.600000,107,32.740000,195.500000,74,16.620000,109.700000,139,4.940000,6.800000,5,1.840000,3,False.
VT,103,510,3902805,no,no,0,246.500000,47,41.910000,195.500000,84,16.620000,200.500000,96,9.020000,11.700000,4,3.160000,1,False.
VT,117,408,3902390,yes,no,0,167.100000,86,28.410000,177.500000,87,15.090000,249.400000,132,11.220000,14.100000,7,3.810000,2,True.
MI,140,415,4199097,no,no,0,231.900000,101,39.420000,160.100000,94,13.610000,110.400000,98,4.970000,14.300000,6,3.860000,3,False.
WA,127,408,3867281,no,no,0,146.700000,91,24.940000,203.500000,78,17.300000,203.400000,110,9.150000,13.700000,3,3.700000,1,False.
UT,83,408,3803561,yes,no,0,271.500000,87,46.160000,216.300000,126,18.390000,121.100000,105,5.450000,11.700000,4,3.160000,1,False.
LA,121,408,3908760,no,no,0,181.500000,121,30.860000,218.400000,98,18.560000,161.600000,103,7.270000,8.500000,5,2.300000,1,False.
RI,145,408,3666730,no,yes,43,257.700000,97,43.810000,162.100000,95,13.780000,286.900000,86,12.910000,11.100000,4,3.000000,2,False.
IA,113,408,3955285,no,no,0,193.800000,99,32.950000,221.400000,125,18.820000,172.300000,67,7.750000,10.600000,6,2.860000,1,False.
NE,117,415,3543436,no,no,0,102.800000,119,17.480000,206.700000,91,17.570000,299.000000,105,13.460000,10.100000,7,2.730000,1,False.
OH,65,408,3367600,no,no,0,187.900000,116,31.940000,157.600000,117,13.400000,227.300000,86,10.230000,7.500000,6,2.030000,1,False.
RI,56,415,3836293,no,no,0,226.000000,112,38.420000,248.500000,118,21.120000,140.500000,142,6.320000,6.900000,11,1.860000,1,False.
OK,96,415,3624596,no,no,0,260.400000,115,44.270000,146.000000,46,12.410000,269.500000,87,12.130000,11.500000,4,3.110000,5,False.
LA,151,408,4013926,no,no,0,178.700000,116,30.380000,292.100000,138,24.830000,265.900000,101,11.970000,9.800000,4,2.650000,0,False.
OH,83,415,3709116,no,no,0,337.400000,120,57.360000,227.400000,116,19.330000,153.900000,114,6.930000,15.800000,7,4.270000,0,True.
VA,139,510,3286289,no,yes,23,157.600000,129,26.790000,247.000000,96,21.000000,259.200000,112,11.660000,13.700000,2,3.700000,0,False.
MO,6,510,3509994,no,no,0,183.600000,117,31.210000,256.700000,72,21.820000,178.600000,79,8.040000,10.200000,2,2.750000,1,False.
FL,115,510,3514616,no,yes,24,142.100000,124,24.160000,183.400000,129,15.590000,164.800000,114,7.420000,9.600000,4,2.590000,1,False.
SC,87,415,3605779,no,no,0,136.300000,97,23.170000,172.200000,108,14.640000,137.500000,101,6.190000,7.100000,5,1.920000,0,False.
VA,141,415,4174885,no,no,0,217.100000,110,36.910000,241.500000,111,20.530000,253.500000,103,11.410000,12.000000,6,3.240000,0,False.
IA,141,510,4064710,no,yes,36,187.500000,99,31.880000,241.400000,116,20.520000,229.500000,105,10.330000,10.500000,5,2.840000,3,False.
MI,62,415,4098743,no,no,0,98.900000,103,16.810000,135.400000,122,11.510000,236.600000,82,10.650000,12.200000,1,3.290000,1,False.
OK,146,415,3354584,no,no,0,206.300000,151,35.070000,148.600000,89,12.630000,167.200000,91,7.520000,6.100000,3,1.650000,1,False.
DE,92,415,3619845,no,yes,33,243.100000,92,41.330000,213.800000,92,18.170000,228.700000,104,10.290000,12.100000,2,3.270000,2,False.
GA,185,510,3665699,no,yes,31,189.800000,126,32.270000,163.300000,133,13.880000,264.800000,126,11.920000,7.500000,3,2.030000,1,False.
DC,148,415,3299364,no,no,0,202.000000,102,34.340000,243.200000,128,20.670000,261.300000,90,11.760000,10.900000,3,2.940000,1,False.
AZ,94,408,3907434,no,yes,38,170.100000,124,28.920000,193.300000,116,16.430000,105.900000,73,4.770000,12.800000,4,3.460000,1,False.
AL,32,510,4049680,no,no,0,230.900000,87,39.250000,187.400000,90,15.930000,154.000000,53,6.930000,6.300000,2,1.700000,0,False.
CO,68,408,3389398,no,no,0,237.100000,105,40.310000,223.500000,105,19.000000,97.400000,79,4.380000,13.200000,2,3.560000,1,False.
NH,64,408,3942445,no,yes,27,182.100000,91,30.960000,169.700000,98,14.420000,164.700000,86,7.410000,10.600000,5,2.860000,2,False.
NM,25,415,3812709,no,no,0,119.300000,87,20.280000,211.500000,101,17.980000,268.900000,86,12.100000,10.500000,4,2.840000,3,False.
OR,65,415,3975060,no,no,0,116.800000,87,19.860000,178.900000,93,15.210000,182.400000,150,8.210000,14.100000,2,3.810000,1,False.
LA,179,408,4152393,no,no,0,219.200000,92,37.260000,149.400000,125,12.700000,244.700000,104,11.010000,6.100000,5,1.650000,0,False.
NE,94,415,3771765,no,no,0,252.600000,104,42.940000,169.000000,125,14.370000,170.900000,106,7.690000,11.100000,7,3.000000,2,False.
MN,62,415,4092111,no,no,0,147.100000,91,25.010000,190.400000,107,16.180000,195.200000,115,8.780000,12.200000,3,3.290000,0,False.
MI,127,415,4013170,no,no,0,202.100000,103,34.360000,229.400000,86,19.500000,195.200000,113,8.780000,11.500000,3,3.110000,2,False.
AR,116,408,4055681,no,no,0,173.500000,93,29.500000,194.100000,76,16.500000,208.000000,112,9.360000,16.200000,10,4.370000,3,False.
KS,70,408,4114582,no,no,0,232.100000,122,39.460000,292.300000,112,24.850000,201.200000,112,9.050000,0.000000,0,0.000000,3,False.
WV,94,510,3555009,yes,yes,23,197.100000,125,33.510000,214.500000,136,18.230000,282.200000,103,12.700000,9.500000,5,2.570000,4,False.
AK,126,415,3723750,no,no,0,58.200000,94,9.890000,138.700000,118,11.790000,136.800000,91,6.160000,11.900000,1,3.210000,5,True.
NY,67,408,4052888,no,yes,36,115.600000,111,19.650000,237.700000,94,20.200000,169.900000,103,7.650000,9.900000,12,2.670000,2,False.
NH,19,408,3613337,no,no,0,186.100000,98,31.640000,254.300000,57,21.620000,214.000000,127,9.630000,14.600000,7,3.940000,2,False.
VA,170,510,3501639,yes,no,0,259.900000,68,44.180000,245.000000,122,20.830000,134.400000,121,6.050000,8.400000,3,2.270000,3,False.
NM,73,415,3333221,no,no,0,214.300000,145,36.430000,268.500000,135,22.820000,241.200000,92,10.850000,10.800000,13,2.920000,1,False.
